DocID	FilerName	MemberName	State	District	Year	Destination	FilingType	DepartureDate	ReturnDate	TravelSponsor
500022727	Jon Bosworth	Blumenauer, Earl	OR	3	2020	San Diego, CA	Original	1/4/2020	1/6/2020	National Railroad Construction and Maintenance Association
500022732	Mark Henson	Himes, James	CT	4	2020	Las Vegas, NV	Original	1/8/2020	1/10/2020	Consumer Technology Association
500022734	Yuri Beckelman	Takano, Mark	CA	39	2020	Las Vegas, NV	Original	1/7/2020	1/9/2020	Consumer Technology Assocation
500022735	Lewis Myers	Plaskett, Stacey	VI	0	2020	Las Vegas, NV	Original	1/8/2020	1/10/2020	Consumer Technology Association
500022736	Jeremy Marcus	Cartwright, Matt	PA	8	2020	Las Vegas, NV	Original	1/6/2020	1/8/2020	Consumer Technology Association
500022737	Christopher Gorud	Lowenthal, Alan S.	CA	47	2020	Las Vegas, NV	Original	1/5/2020	1/8/2020	Consumer Technology Association
500022738	James Decker	Burgess, Michael	TX	26	2020	Las Vegas, NV	Original	1/6/2020	1/8/2020	Consumer Technology Association
500022739	Michael Kotsovos	Long, Billy	MO	7	2020	Las Vegas, NV	Original	1/7/2020	1/9/2020	Consumer Technology Association
500022740	Robert Peters	Ratcliffe, John	TX	4	2020	Las Vegas, NV	Original	1/6/2020	1/8/2020	Consumer Technology Association
500022741	Brian Looser	Shimkus, John	IL	15	2020	Las Vegas, NV	Original	1/7/2020	1/9/2020	Consumer Technology Association
500022742	Evan Viau	Walden, Greg	OR	2	2020	Las Vegas, NV	Original	1/6/2020	1/9/2020	Consumer Technology Association
500022743	Alexander Beckmann	Lipinski, Daniel	IL	3	2020	San Diego, CA	Original	1/3/2020	1/6/2020	National Railroad Construction and Maintenance Association
500022744	David Dorfman	Clarke, Yvette	NY	9	2020	Las Vegas, NV	Original	1/6/2020	1/8/2020	Consumer Technology Association
500022745	Christopher Gorud	Lowenthal, Alan S.	CA	47	2020	Las Vegas, NV	Amendment	1/5/2020	1/8/2020	Consumer Technology Association
500022746	Aaron Davis	DeFazio, Peter A.	OR	4	2020	Las Vegas, NV	Original	1/6/2020	1/8/2020	Consumer Technology Association
500022747	Michael Pauls	Norcross, Donald	NJ	1	2020	Las Vegas, NV	Original	1/7/2020	1/9/2020	Consumer Technology Association
500022748	Sarah Moxley	Rogers, Mike	MI	8	2020	Las Vegas, NV	Original	1/7/2020	1/9/2020	Consumer Technology Association
500022749	Edgar Rivas	O'Halleran, Tom	AZ	1	2020	Las Vegas, NV	Original	1/7/2020	1/9/2020	Consumer Technology Association
500022750	Mark Henson	Himes, James	CT	4	2020	Las Vegas, NV	Amendment	1/8/2020	1/10/2020	Consumer Technology Association
500022751	Jon Bosworth	Blumenauer, Earl	OR	3	2020	San Diego, CA	Amendment	1/4/2020	1/6/2020	National Railroad Construction and Maintenance Association
500022752	Brian Duckworth	Allred, Colin	TX	32	2020	Las Vegas, NV	Original	1/6/2020	1/8/2020	Consumer Technology Association
500022757	Auburn Bell	Grijalva, Raul	AZ	7	2020	Cambridge, MD	Original	1/17/2020	1/19/2020	Aspen Institute
500022758	David Thompson	Crist, Charlie	FL	13	2020	Cambridge, MD	Original	1/17/2020	1/19/2020	Aspen Institute
500022759	Christopher Cox	Clarke, Yvette	NY	9	2020	Las Vegas, NV	Original	1/7/2020	1/9/2020	Consumer Technology Association
500022760	Chelsea Angelo	Cooper, Jim	TN	5	2020	Cambridge, MD	Original	1/17/2020	1/19/2020	Aspen Institute
