geoid,county,hogan,jealous,quinn,schlakman,write_in18,total_18,hogan_voteshare,cox,moore,lashar,wallace,harding,sefcik,write_in22,total_22,cox_voteshare
24001,Allegany,19224,3985,166,139,16,23530,81.69995750106247,13833,6390,279,143,267,0,17,20929,66.09489225476611
24003,Anne Arundel,157202,69399,1366,1052,187,229206,68.58546460389344,73775,88375,3554,988,1268,0,588,168548,43.77091392363006
24510,Baltimore City,58360,123609,1055,1491,176,184691,31.598724355815932,11387,112984,1282,1231,1443,0,246,128573,8.856447310088432
24005,Baltimore County,198122,122773,1633,1492,256,324276,61.09672007795828,80759,136462,3993,1648,2409,0,702,225973,35.73834042120077
24009,Calvert,29610,9216,303,130,25,39284,75.37419814682823,18447,14236,504,142,242,0,89,33660,54.80392156862746
24011,Caroline,9489,1900,82,28,6,11505,82.47718383311604,6727,3276,176,56,140,0,21,10396,64.70757983839938
24013,Carroll,62445,11767,533,261,45,75051,83.20342167326218,38969,25155,1515,436,561,0,301,66937,58.21742832812944
24015,Cecil,27063,7354,353,154,15,34939,77.45785511892154,18159,8691,472,155,311,21,35,27823,65.26614671315099
24017,Charles,31756,32100,274,193,37,64360,49.34120571783717,15096,33633,408,283,414,0,78,49912,30.24523160762943
24019,Dorchester,9205,3043,72,39,8,12367,74.43195601196734,6169,4341,139,69,157,0,19,10894,56.62750137690472
24021,Frederick,72560,33355,746,499,59,107219,67.67457260373628,44307,51423,1700,555,722,0,306,99013,44.748669366648826
24023,Garrett,9472,1395,86,48,7,11008,86.04651162790698,8195,2402,194,52,138,0,15,10996,74.52710076391415
24025,Harford,85259,24012,756,461,91,110579,77.10234312120747,51930,40837,2033,618,914,0,301,96633,53.739405793052065
24027,Howard,80574,61146,800,752,111,143383,56.194946402293155,33110,83690,2464,802,713,0,419,121198,27.318932655654383
24029,Kent,6370,2222,43,57,2,8694,73.26892109500805,3718,4256,106,56,93,0,10,8239,45.12683578104139
24031,Montgomery,180018,224029,1922,2110,349,408428,44.075822421577364,58701,227161,3443,2444,1677,0,768,294194,19.953160159622563
24033,Prince George's,89925,225889,1469,1423,279,318985,28.19098076712071,17937,179968,1081,1693,1984,0,314,202977,8.836961823260763
24035,Queen Anne's,19503,3268,99,86,15,22971,84.90270340864569,12840,8577,416,120,212,0,89,22254,57.69749258560258
24037,Saint Mary's,30703,9084,410,170,27,40394,76.00881319007775,20670,14365,720,263,361,0,86,36465,56.68449197860963
24039,Somerset,5203,2379,71,33,16,7702,67.55388210854323,3974,2254,67,46,81,0,6,6428,61.82327317983821
24041,Talbot,14081,3957,79,66,7,18190,77.41066520065971,7497,7989,289,70,128,0,44,16017,46.80651807454579
24043,Washington,38765,10894,491,268,43,50461,76.82170389013298,27571,17006,646,257,483,0,75,46038,59.88748425213954
24045,Wicomico,22659,10426,284,141,24,33534,67.57022723206299,14612,12213,388,171,358,0,46,27788,52.58384914351518
24047,Worcester,18076,5437,148,82,12,23755,76.09345400968218,13433,8550,273,121,161,0,31,22569,59.51969515707386
