count_year,Airway Heights Corrections Center,Cedar Creek Corrections Center,Clallam Bay Corrections Center,Coyote Ridge Corrections Center,Larch Corrections Center,Mission Creek Corrections Center for Women,Monroe Correctional Complex,Olympic Corrections Center,Stafford Creek Corrections Center,Washington Correction Center,Washington Correction Center for Women,Washington State Penitentiary,Prison Facility Totals,Statewide Emergency Beds,"Prison Facility Totals + Statewide Emergency Beds
(Prison Total Confinement)",Work Release,Total and Partial Confinement Totals
adp_jul_2012,"2,167",475,898,"2,514",469,298,"2,468",366,"1,948","1,714",867,"2,206","16,390",0,"16,390",677,"17,067"
capacity_jul_2012,"2,136",480,900,"2,528",480,300,"2,500",340,"1,936","1,398",764,"2,104","15,866",566,"16,432",679,"17,111"
adp_aug_2012,"2,174",473,891,"2,530",467,297,"2,469",367,"1,964","1,646",878,"2,259","16,416",0,"16,416",677,"17,094"
capacity_aug_2012,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_sep_2012,"2,167",472,898,"2,519",464,297,"2,476",367,"1,950","1,652",876,"2,265","16,403",0,"16,403",652,"17,055"
capacity_sep_2012,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_oct_2012,"2,150",464,892,"2,470",456,293,"2,489",362,"1,966","1,819",887,"2,203","16,453",0,"16,453",655,"17,108"
capacity_oct_2012,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_nov_2012,"2,177",472,886,"2,495",474,300,"2,527",365,"1,964","1,738",884,"2,200","16,482",0,"16,482",641,"17,123"
capacity_nov_2012,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_dec_2012,"2,177",476,885,"2,523",475,295,"2,533",368,"1,975","1,713",892,"2,179","16,491",0,"16,491",611,"17,102"
capacity_dec_2012,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_jan_2013,"2,184",475,894,"2,544",476,294,"2,531",372,"1,981","1,678",884,"2,162","16,474",0,"16,474",606,"17,080"
capacity_jan_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_feb_2013,"2,173",477,884,"2,543",475,296,"2,522",374,"1,972","1,762",880,"2,141","16,500",0,"16,500",638,"17,138"
capacity_feb_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_mar_2013,"2,168",475,887,"2,503",475,300,"2,533",376,"1,959","1,790",908,"2,196","16,569",0,"16,569",660,"17,228"
capacity_mar_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_apr_2013,"2,171",474,897,"2,514",472,298,"2,551",376,"1,955","1,795",901,"2,216","16,619",0,"16,619",672,"17,291"
capacity_apr_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_may_2013,"2,182",476,897,"2,546",476,296,"2,562",375,"1,943","1,838",902,"2,217","16,710",0,"16,710",651,"17,361"
capacity_may_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_jun_2013,"2,183",477,884,"2,534",476,300,"2,546",372,"1,963","1,884",906,"2,253","16,778",0,"16,778",650,"17,428"
capacity_jun_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_jul_2013,"2,194",475,893,"2,545",474,308,"2,527",378,"2,004","1,912",914,"2,231","16,854",0,"16,854",637,"17,491"
capacity_jul_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,093","15,948",473,"16,421",679,"17,100"
adp_aug_2013,"2,195",477,891,"2,581",476,312,"2,493",377,"2,010","1,868",914,"2,255","16,850",0,"16,850",664,"17,514"
capacity_aug_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",450,"16,488",679,"17,167"
adp_sep_2013,"2,192",478,882,"2,571",477,312,"2,476",386,"1,993","1,829",927,"2,300","16,824",0,"16,824",696,"17,520"
capacity_sep_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",450,"16,488",679,"17,167"
adp_oct_2013,"2,178",475,874,"2,549",477,311,"2,476",382,"1,985","1,858",932,"2,319","16,818",0,"16,818",700,"17,518"
capacity_oct_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",450,"16,488",679,"17,167"
adp_nov_2013,"2,185",478,883,"2,565",477,314,"2,513",393,"1,997","1,809",932,"2,319","16,864",0,"16,864",691,"17,555"
capacity_nov_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",450,"16,488",679,"17,167"
adp_dec_2013,"2,172",477,889,"2,497",476,312,"2,548",395,"1,971","1,789",932,"2,342","16,799",0,"16,799",674,"17,473"
capacity_dec_2013,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",450,"16,488",679,"17,167"
adp_jan_2014,"2,181",473,893,"2,481",475,312,"2,539",391,"1,961","1,726",942,"2,361","16,734",0,"16,734",647,"17,381"
capacity_jan_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",450,"16,488",679,"17,167"
adp_feb_2014,"2,168",475,848,"2,491",472,315,"2,563",379,"1,956","1,781",926,"2,362","16,736",0,"16,736",668,"17,404"
capacity_feb_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",470,"16,508",679,"17,187"
adp_mar_2014,"2,165",474,863,"2,482",466,312,"2,566",383,"1,957","1,797",940,"2,341","16,745",0,"16,745",671,"17,416"
capacity_mar_2014,"2,152",480,900,"2,528",480,300,"2,500",381,"1,972","1,398",764,"2,183","16,038",470,"16,508",679,"17,187"
