COUNTY,Admission FY06,Release FY06,Admission FY07,Release FY07,Admission FY08,Release FY08,Admission FY09,Release FY09,Admission FY10,Release FY10,Admission FY11,Release FY11,Admission FY12,Release FY12,Admission FY13,Release FY13,Admission FY14,Release FY14,Admission FY15,Release FY15,Admission FY16,Release FY16,Admission FY17,Release FY17,Admission FY18,Release FY18,Admission FY19,Release FY19,Admission FY20,Release FY20,Admission FY21,Release FY21,Admission FY22,Release FY22,Admission FY23,Release FY23
ADAMS,20,17,27,18,19,19,15,15,29,19,18,16,15,20,25,7,20,17,27,18,19,19,15,15,29,19,18,16,15,20,25,7,16,5,7,1
ASOTIN,57,32,47,29,48,23,56,36,37,43,53,25,38,25,50,32,57,32,47,29,48,23,56,36,37,43,53,25,38,25,50,32,40,24,58,26
BENTON,294,207,289,223,239,242,249,230,250,184,252,241,273,181,268,257,294,207,289,223,239,242,249,230,250,184,252,241,273,181,268,257,223,219,233,227
CHELAN,141,86,130,90,122,89,116,87,96,89,113,80,84,72,99,88,141,86,130,90,122,89,116,87,96,89,113,80,84,72,99,88,78,55,126,61
CLALLAM,78,91,82,53,78,81,59,78,54,54,83,62,76,55,70,70,78,91,82,53,78,81,59,78,54,54,83,62,76,55,70,70,64,43,76,53
CLARK,645,467,608,436,579,457,612,478,555,426,536,468,575,451,636,474,645,467,608,436,579,457,612,478,555,426,536,468,575,451,636,474,292,289,335,271
COLUMBIA,2,8,4,2,5,6,2,2,6,7,11,1,6,2,11,4,2,8,4,2,5,6,2,2,6,7,11,1,6,2,11,4,2,3,6,4
COWLITZ,350,270,355,327,230,247,284,258,235,209,319,261,336,281,356,276,350,270,355,327,230,247,284,258,235,209,319,261,336,281,356,276,111,140,203,121
DOUGLAS,18,19,32,23,32,31,36,20,33,13,50,21,35,25,40,24,18,19,32,23,32,31,36,20,33,13,50,21,35,25,40,24,6,34,7,36
FERRY,5,11,7,1,2,7,5,5,3,4,7,5,6,2,6,5,5,11,7,1,2,7,5,5,3,4,7,5,6,2,6,5,7,3,7,4
FRANKLIN,87,85,90,90,70,83,66,79,64,75,75,68,116,111,106,106,87,85,90,90,70,83,66,79,64,75,75,68,116,111,106,106,98,61,100,65
GARFIELD,8,1,0,8,2,1,4,1,2,1,4,3,5,2,4,1,8,1,0,8,2,1,4,1,2,1,4,3,5,2,4,1,1,1,1,1
GRANT,113,87,89,87,89,93,82,85,84,89,130,88,133,96,130,108,113,87,89,87,89,93,82,85,84,89,130,88,133,96,130,108,109,81,135,80
GRAYS HARBOR,159,127,139,154,133,134,117,113,129,111,137,110,156,118,156,119,159,127,139,154,133,134,117,113,129,111,137,110,156,118,156,119,133,119,114,98
ISLAND,48,41,38,30,42,33,60,45,48,39,52,48,52,48,57,41,48,41,38,30,42,33,60,45,48,39,52,48,52,48,57,41,24,23,42,30
JEFFERSON,23,15,19,26,27,31,14,23,21,13,17,15,15,15,16,10,23,15,19,26,27,31,14,23,21,13,17,15,15,15,16,10,17,9,17,10
KING,"1,913","1,980","1,900","1,813","1,743","1,736","1,511","1,673","1,481","1,675","1,416","1,604","1,334","1,460","1,315","1,426","1,913","1,980","1,900","1,813","1,743","1,736","1,511","1,673","1,481","1,675","1,416","1,604","1,334","1,460","1,315","1,426",710,1065,799,989
KITSAP,408,336,372,312,291,332,269,285,252,309,256,256,313,289,357,302,408,336,372,312,291,332,269,285,252,309,256,256,313,289,357,302,155,190,189,155
KITTITAS,38,32,35,25,20,25,33,16,46,21,46,30,41,22,49,26,38,32,35,25,20,25,33,16,46,21,46,30,41,22,49,26,46,15,48,27
KLICKITAT,21,15,29,13,12,18,17,17,22,15,23,17,17,10,25,14,21,15,29,13,12,18,17,17,22,15,23,17,17,10,25,14,22,11,26,15
LEWIS,220,176,158,142,157,144,163,143,161,133,177,148,215,163,224,174,220,176,158,142,157,144,163,143,161,133,177,148,215,163,224,174,171,116,195,88
LINCOLN,9,7,3,5,8,8,8,6,9,8,2,8,4,8,13,1,9,7,3,5,8,8,8,6,9,8,2,8,4,8,13,1,13,6,17,2
MASON,106,76,122,87,94,88,119,80,85,84,74,62,91,84,123,85,106,76,122,87,94,88,119,80,85,84,74,62,91,84,123,85,34,62,45,46
OKANOGAN,53,45,43,38,45,51,40,37,43,26,41,32,41,35,65,24,53,45,43,38,45,51,40,37,43,26,41,32,41,35,65,24,46,36,48,41
PACIFIC,43,33,60,37,40,27,41,26,41,28,36,22,42,29,61,26,43,33,60,37,40,27,41,26,41,28,36,22,42,29,61,26,18,15,43,10
PEND OREILLE,7,11,5,9,5,6,6,5,9,6,6,4,6,4,15,8,7,11,5,9,5,6,6,5,9,6,6,4,6,4,15,8,9,5,7,3
PIERCE,"1,397","1,301","1,365","1,284","1,444","1,194","1,327","1,324","1,296","1,306","1,293","1,360","1,228","1,284","1,203","1,237","1,397","1,301","1,365","1,284","1,444","1,194","1,327","1,324","1,296","1,306","1,293","1,360","1,228","1,284","1,203","1,237",515,683,703,585
SAN JUAN,3,7,2,4,3,6,3,4,6,7,3,4,4,1,1,7,3,7,2,4,3,6,3,4,6,7,3,4,4,1,1,7,2,5,10,1
SKAGIT,168,98,180,128,183,112,187,115,176,160,181,136,223,129,207,182,168,98,180,128,183,112,187,115,176,160,181,136,223,129,207,182,137,112,185,99
SKAMANIA,17,14,20,10,21,17,10,12,7,6,2,5,10,5,14,7,17,14,20,10,21,17,10,12,7,6,2,5,10,5,14,7,9,4,14,1
SNOHOMISH,607,533,567,482,602,493,643,521,472,572,531,544,588,516,640,509,607,533,567,482,602,493,643,521,472,572,531,544,588,516,640,509,287,396,344,363
SPOKANE,768,815,797,793,653,646,606,591,494,608,527,548,476,536,554,576,768,815,797,793,653,646,606,591,494,608,527,548,476,536,554,576,495,541,495,572
STEVENS,24,30,24,15,26,25,40,19,30,35,35,25,31,30,34,27,24,30,24,15,26,25,40,19,30,35,35,25,31,30,34,27,48,29,55,24
THURSTON,363,321,389,282,336,291,423,316,330,308,341,303,328,309,343,329,363,321,389,282,336,291,423,316,330,308,341,303,328,309,343,329,236,236,223,150
WAHKIAKUM,2,6,8,5,6,5,8,7,3,3,4,3,0,9,2,7,2,6,8,5,6,5,8,7,3,3,4,3,0,9,2,7,4,2,7,2
WALLA WALLA,77,69,64,58,70,54,78,61,64,62,62,56,74,54,75,60,77,69,64,58,70,54,78,61,64,62,62,56,74,54,75,60,33,37,44,29
WHATCOM,326,247,267,249,258,228,259,229,278,243,266,229,288,222,287,233,326,247,267,249,258,228,259,229,278,243,266,229,288,222,287,233,124,154,152,141
WHITMAN,13,13,15,14,11,14,12,9,15,6,17,5,12,10,6,7,13,13,15,14,11,14,12,9,15,6,17,5,12,10,6,7,10,5,20,4
YAKIMA,291,329,373,319,387,362,454,365,426,379,467,371,379,379,469,427,291,329,373,319,387,362,454,365,426,379,467,371,379,379,469,427,294,326,338,316
OUT OF STATE,5,290,14,292,7,246,11,257,7,208,5,207,5,217,6,200,5,290,14,292,7,246,11,257,7,208,5,207,5,217,6,200,48,190,49,160
US IMMIGRATION,0,389,0,429,0,430,0,108,0,140,0,141,0,323,1,147,0,389,0,429,0,430,0,108,0,140,0,141,0,323,1,147,1,66,0,61
US MARSHAL,0,0,0,1,0,0,0,17,0,17,0,28,0,28,7,28,0,0,0,1,0,0,0,17,0,17,0,28,0,28,7,28,0,11,0,20
OTHER,17,10,19,4,32,11,53,78,359,116,4,7,3,6,7,5,17,10,19,4,32,11,53,78,359,116,4,7,3,6,7,5,72,6,68,7
Total,"8,944","8,747","8,787","8,447","8,171","8,146","8,098","7,876","7,758","7,857","7,672","7,667","7,674","7,666","8,133","7,696","8,944","8,747","8,787","8,447","8,171","8,146","8,098","7,876","7,758","7,857","7,672","7,667","7,674","7,666","8,133","7,696","4,760","5,433","5,591","4,999"
